3.110912	4.604192	4.164179	4.812041	4.051367	4.7140775
2.623286	4.8061943	4.3002353	4.8334174	4.467014	4.4393797
3.003304	5.4587183	4.9862638	5.77634	5.081177	5.5655546
3.0232046	4.8254275	5.2055745	5.692073	4.905293	5.5723825
3.0103304	4.645744	4.0763397	4.6168547	4.8038745	4.656011
3.073997	4.6816044	4.8833795	4.1536956	4.068923	4.355207
3.0737238	4.8298373	4.0965114	4.1207895	3.7608676	3.3172493
2.6956282	4.990428	4.458525	5.0015264	4.943002	4.6165557
1.7101369	3.6404314	3.4508805	3.637791	3.2845397	2.9340458
3.038029	4.6408587	4.5615106	5.03314	4.7058773	4.776516
3.1505175	4.551637	4.928681	4.224417	4.3576546	4.9191675
2.997809	4.300361	4.390007	4.72653	4.0578613	4.7574477
1.7128729	4.254601	4.165511	5.2501955	3.8671577	4.5803137
3.5724552	4.634559	4.8052955	4.9696984	4.0001564	5.1689296
-0.49432132	3.705785	3.589412	3.7912614	3.5459342	3.2176838
2.9679387	4.473293	4.302128	4.730345	4.0629377	3.665077
3.0217364	4.848163	4.4352455	4.9593973	4.657303	5.098374
2.9222946	4.8424363	4.287895	5.0193405	4.6504073	4.805024
3.0476553	4.7604423	4.3831563	4.329664	4.7050705	4.5450497
3.0224195	4.690344	3.602116	4.42081	4.678661	4.757879
